$$,Id_actividad,nombre,grado,sesion,bloque,bateria,status_actividad,reg_status,created_by,created_date,last_update_by,last_update_date,id_lectura,id_actividad_tipo,id_actividad_categoria,&&
$$,328,Día de Muertos,6,328,1,1,activa,activo,developer,2021-12-01,developer,2021-12-01,49,3,4,&&
$$,329,La hidrósfera,6,329,1,1,activa,activo,developer,2021-12-02,developer,2021-12-02,50,3,3,&&
$$,330,El español de aquí? y el español de allá?: ¿podremos entendernos?,6,330,1,1,activa,activo,developer,2021-12-03,developer,2021-12-03,51,3,4,&&
$$,331,¿Zombis?,6,331,1,1,activa,activo,developer,2021-12-04,developer,2021-12-04,52,3,4,&&
$$,332,Las propiedades insólitas del agua,6,332,1,1,activa,activo,developer,2021-12-05,developer,2021-12-05,53,3,4,&&
$$,333,¿Cómo combatir la violencia de género?,6,333,1,1,activa,activo,developer,2021-12-06,developer,2021-12-06,54,3,4,&&
$$,334,Ritmo,6,334,1,1,activa,activo,developer,2021-12-07,developer,2021-12-07,55,3,4,&&
$$,335,Ciudades inmortales,6,335,1,1,activa,activo,developer,2021-12-08,developer,2021-12-08,56,4,2,&&
$$,336,El secreto de la tierra,6,336,2,1,activa,activo,developer,2021-12-09,developer,2021-12-09,57,5,6,&&
$$,337,La tecnología y el arte: una unión original,6,337,2,1,activa,activo,developer,2021-12-10,developer,2021-12-10,58,3,4,&&
$$,338,El aburrimiento,6,338,2,1,activa,activo,developer,2021-12-11,developer,2021-12-11,59,3,4,&&
$$,339,Fragmento 1: La infanta Castile y el insólito mundo de Anomalía,6,339,2,1,activa,activo,developer,2021-12-12,developer,2021-12-12,60,3,4,&&
$$,340,Más allá de las etiquetas está la diversidad,6,340,2,1,activa,activo,developer,2021-12-13,developer,2021-12-13,61,3,4,&&
$$,341,Fragmento 2: La infanta Castile y el insólito mundo de Anomalía,6,341,2,1,activa,activo,developer,2021-12-14,developer,2021-12-14,62,3,4,&&
$$,342,El genio de las matemáticasmodernas,6,342,2,1,activa,activo,developer,2021-12-15,developer,2021-12-15,63,3,4,&&
$$,343,Fragmento 3: La infanta Castile y el insólito mundo de Anomalía,6,343,2,1,activa,activo,developer,2021-12-16,developer,2021-12-16,64,3,4,&&
$$,344,¿Cómo debemos vivir?,6,344,2,1,activa,activo,developer,2021-12-17,developer,2021-12-17,65,3,4,&&
$$,345,Fragmento 4: La infanta Castile y el insólito mundo de Anomalía,6,345,2,1,activa,activo,developer,2021-12-18,developer,2021-12-18,66,3,4,&&
$$,346,Litio: la nueva promesa sustentable,6,346,2,1,activa,activo,developer,2021-12-19,developer,2021-12-19,67,3,4,&&
$$,347,La infanta Castile y el insólito mundo de Anomalía,6,347,2,1,activa,activo,developer,2021-12-20,developer,2021-12-20,68,3,4,&&
$$,348,Las criptomonedas: economía digital,6,348,2,1,activa,activo,developer,2021-12-21,developer,2021-12-21,69,3,4,&&
$$,349,En busca de una solución para el hambre mundial,6,349,2,1,activa,activo,developer,2021-12-22,developer,2021-12-22,70,3,4,&&
$$,350,Carta de queja,6,350,2,1,activa,activo,developer,2021-12-23,developer,2021-12-23,71,3,3,&&
$$,351,Mamuts de nuevo a la vida. Clonación,6,351,2,1,activa,activo,developer,2021-12-24,developer,2021-12-24,72,3,4,&&
$$,352,La felicidad en el mundo,6,352,2,1,activa,activo,developer,2021-12-25,developer,2021-12-25,73,3,4,&&
$$,353,El precio de la moda,6,353,2,1,activa,activo,developer,2021-12-26,developer,2021-12-26,74,3,4,&&
