$,id_lectura,lectura_nombre,Descripcion,texto,reg_status,created_by,created_date,last_update_by,last_update_date,id_categoria_lectura,&&
$,68,La infanta Castile y el insólito mundo de Anomalía,,,activo,developer,2021-12-20,developer,2021-12-20,4,&&
$,69,Las criptomonedas: economía digital,,,activo,developer,2021-12-21,developer,2021-12-21,5,&&
$,70,En busca de una solución para el hambre mundial,,,activo,developer,2021-12-22,developer,2021-12-22,2,&&
$,71,Carta de queja,,,activo,developer,2021-12-23,developer,2021-12-23,1,&&
$,72,Mamuts de nuevo a la vida. Clonación,,,activo,developer,2021-12-24,developer,2021-12-24,2,&&
$,73,La felicidad en el mundo,,,activo,developer,2021-12-25,developer,2021-12-25,7,&&
$,74,El precio de la moda,,,activo,developer,2021-12-26,developer,2021-12-26,5,&&
$,75,Una ética para el mundo digital,,,activo,developer,2021-12-27,developer,2021-12-27,7,&&
$,76,El canal de Panamá,,,activo,developer,2021-12-28,developer,2021-12-28,5,&&
$,77,La fotografía profesiona,,,activo,developer,2021-12-29,developer,2021-12-29,3,&&
$,78,El amor no discrimina,,,activo,developer,2021-12-30,developer,2021-12-30,7,&&
$,79,El hogar de las palabras,,,activo,developer,2021-12-31,developer,2021-12-31,4,&&
$,80,¿Existe vida en otros planetas?,,,activo,developer,2022-01-01,developer,2022-01-01,2,&&
$,81,Instructivo medico,,,activo,developer,2022-01-02,developer,2022-01-02,1,&&
$,82,Alquimia,,,activo,developer,2022-01-03,developer,2022-01-03,2,&&
$,83,El lado humano en las catástrofes,,,activo,developer,2022-01-04,developer,2022-01-04,5,&&
$,84,Mujeres artistas latinoamericanas,,,activo,developer,2022-01-05,developer,2022-01-05,3,&&
$,85,Ciencias Naturale,,,activo,developer,2022-01-06,developer,2022-01-06,2,&&
$,86,"Pocos colores son suficientes, pero ¿cuántos son pocos?",,,activo,developer,2022-01-07,developer,2022-01-07,6,&&
$,87,Postales del mar,,,activo,developer,2022-01-08,developer,2022-01-08,4,&&
$,88,Ciencias Naturales,,,activo,developer,2022-01-09,developer,2022-01-09,2,&&
$,89,Rebe-K,,,activo,developer,2022-01-10,developer,2022-01-10,7,&&
$,90,Formulario de ingreso,,,activo,developer,2022-01-11,developer,2022-01-11,1,&&
$,91,Las ramas de la psicología,,,activo,developer,2022-01-12,developer,2022-01-12,5,&&
$,92,Américamegadiversa. ¿Cuál es nuestra responsabilidad?,,,activo,developer,2022-01-13,developer,2022-01-13,2,&&
$,93,"¿De verdad quería ver, escuchar o comprar eso?",,,activo,developer,2022-01-14,developer,2022-01-14,6,&&
$,94,"Los premios, las trayectorias y el dinero",,,activo,developer,2022-01-15,developer,2022-01-15,3,&&
$,95,Narraciones orales como esencia de la cultura,,,activo,developer,2022-01-16,developer,2022-01-16,3,&&
$,96,La basura que vino de lejos,,,activo,developer,2022-01-17,developer,2022-01-17,5,&&
$,97,La grandeza esta? en la diversidad,,,activo,developer,2022-01-18,developer,2022-01-18,6,&&
